# observation_id: 242b7f62-3751-11ee-b30b-16cf55170a0d
# metadata: https://api.forecastarbiter.com/observations/242b7f62-3751-11ee-b30b-16cf55170a0d/metadata
timestamp,value,quality_flag
20230101T00:00:00+0000,0.565461,16386
20230101T01:00:00+0000,0.595124,16386
20230101T02:00:00+0000,0.572071,16402
20230101T03:00:00+0000,0.548434,16402
20230101T04:00:00+0000,0.516687,16402
20230101T05:00:00+0000,0.499721,16402
20230101T06:00:00+0000,0.461794,16402
20230101T07:00:00+0000,0.438338,16402
20230101T08:00:00+0000,0.437087,16402
20230101T09:00:00+0000,0.429682,16402
20230101T10:00:00+0000,0.42085,16402
20230101T11:00:00+0000,0.420372,16402
20230101T12:00:00+0000,0.434534,16402
20230101T13:00:00+0000,0.470245,16402
20230101T14:00:00+0000,0.494664,16402
20230101T15:00:00+0000,0.517137,16402
20230101T16:00:00+0000,0.557895,16402
20230101T17:00:00+0000,0.545142,16386
20230101T18:00:00+0000,0.478581,16386
20230101T19:00:00+0000,0.429782,16386
20230101T20:00:00+0000,0.473247,16386
20230101T21:00:00+0000,0.496807,16386
20230101T22:00:00+0000,0.502415,16386
20230101T23:00:00+0000,0.523488,16386
20230102T00:00:00+0000,0.571769,16386
20230102T01:00:00+0000,0.632556,16386
20230102T02:00:00+0000,0.636435,16402
20230102T03:00:00+0000,0.6209,16402
20230102T04:00:00+0000,0.6233,16402
20230102T05:00:00+0000,0.597959,16402
20230102T06:00:00+0000,0.54784,16402
20230102T07:00:00+0000,0.52797,16402
20230102T08:00:00+0000,0.514035,16402
20230102T09:00:00+0000,0.498751,16402
20230102T10:00:00+0000,0.489425,16402
20230102T11:00:00+0000,0.491237,16402
20230102T12:00:00+0000,0.513876,16402
20230102T13:00:00+0000,0.551565,16402
20230102T14:00:00+0000,0.605123,16402
20230102T15:00:00+0000,0.655636,16402
20230102T16:00:00+0000,0.691076,16402
20230102T17:00:00+0000,0.70478,16386
20230102T18:00:00+0000,0.724212,16386
20230102T19:00:00+0000,0.730438,16386
20230102T20:00:00+0000,0.717384,16386
20230102T21:00:00+0000,0.694679,16386
20230102T22:00:00+0000,0.699321,16386
20230102T23:00:00+0000,0.701949,16386
20230103T00:00:00+0000,0.748263,16386
20230103T01:00:00+0000,0.756461,16386
20230103T02:00:00+0000,0.76302,16402
20230103T03:00:00+0000,0.72584,16402
20230103T04:00:00+0000,0.69028,16402
20230103T05:00:00+0000,0.614068,16402
