# observation_id: 37313e49-3751-11ee-9349-fe0711ac8693
# metadata: https://api.forecastarbiter.com/observations/37313e49-3751-11ee-9349-fe0711ac8693/metadata
timestamp,value,quality_flag
20230101T00:00:00+0000,0.172414,0
20230101T01:00:00+0000,0.0,16402
20230101T02:00:00+0000,0.0,16402
20230101T03:00:00+0000,0.0,19474
20230101T04:00:00+0000,0.0,19474
20230101T05:00:00+0000,0.14081,16402
20230101T06:00:00+0000,0.14081,16402
20230101T07:00:00+0000,0.13219,16402
20230101T08:00:00+0000,0.123569,16402
20230101T09:00:00+0000,0.12069,16402
20230101T10:00:00+0000,0.11781,16402
20230101T11:00:00+0000,0.0,16402
20230101T12:00:00+0000,0.12069,16402
20230101T13:00:00+0000,0.13219,16402
20230101T14:00:00+0000,0.12931,16386
20230101T15:00:00+0000,-0.0316034,16386
20230101T16:00:00+0000,0.0,16386
20230101T17:00:00+0000,0.0,16386
20230101T18:00:00+0000,0.0,19458
20230101T19:00:00+0000,0.0,19458
20230101T20:00:00+0000,-0.229879,16386
20230101T21:00:00+0000,0.0,16386
20230101T22:00:00+0000,-0.0115,16386
20230101T23:00:00+0000,0.0,16386
20230102T00:00:00+0000,0.169535,16402
20230102T01:00:00+0000,0.0,16402
20230102T02:00:00+0000,0.0,16402
20230102T03:00:00+0000,0.0,19474
20230102T04:00:00+0000,0.0,19474
20230102T05:00:00+0000,0.0,19474
20230102T06:00:00+0000,0.0,19474
20230102T07:00:00+0000,0.0,19474
20230102T08:00:00+0000,0.0,19474
20230102T09:00:00+0000,0.0,19474
20230102T10:00:00+0000,0.0,19474
20230102T11:00:00+0000,0.0,19474
20230102T12:00:00+0000,0.0,19474
20230102T13:00:00+0000,0.0,19474
20230102T14:00:00+0000,0.0,19458
20230102T15:00:00+0000,0.0,19458
20230102T16:00:00+0000,0.0,19458
20230102T17:00:00+0000,0.0,19458
20230102T18:00:00+0000,0.0,19458
20230102T19:00:00+0000,0.0,19458
20230102T20:00:00+0000,0.0,19458
20230102T21:00:00+0000,0.0,19458
20230102T22:00:00+0000,0.0,19458
20230102T23:00:00+0000,0.0,19458
20230103T00:00:00+0000,0.0,19474
20230103T01:00:00+0000,0.0,19474
20230103T02:00:00+0000,0.0,19474
20230103T03:00:00+0000,0.0,19474
20230103T04:00:00+0000,0.0,19474
20230103T05:00:00+0000,0.0,19474
20230103T06:00:00+0000,0.0,19474
20230103T07:00:00+0000,0.344828,16402
20230103T08:00:00+0000,0.353448,16402
20230103T09:00:00+0000,0.350569,16402
20230103T10:00:00+0000,0.37069,16402
20230103T11:00:00+0000,0.0,16402
20230103T12:00:00+0000,0.408052,16402
20230103T13:00:00+0000,0.482759,16402
20230103T14:00:00+0000,0.471259,16386
20230103T15:00:00+0000,0.465517,16386
20230103T16:00:00+0000,0.0,16386
20230103T17:00:00+0000,0.0,16386
20230103T18:00:00+0000,0.0,19458
20230103T19:00:00+0000,0.0,19458
20230103T20:00:00+0000,0.336207,16386
20230103T21:00:00+0000,0.0,16386
20230103T22:00:00+0000,0.416672,16386
20230103T23:00:00+0000,0.0,16386
20230104T00:00:00+0000,0.433914,16402
20230104T01:00:00+0000,0.0,16402
20230104T02:00:00+0000,0.0,16402
20230104T03:00:00+0000,0.0,19474
20230104T04:00:00+0000,0.0,19474
20230104T05:00:00+0000,0.0,19474
20230104T06:00:00+0000,0.38219,16402
20230104T07:00:00+0000,0.35919,16402
20230104T08:00:00+0000,0.36781,16402
20230104T09:00:00+0000,0.36781,16402
20230104T10:00:00+0000,0.373569,16402
20230104T11:00:00+0000,0.0,16402
20230104T12:00:00+0000,0.431035,16402
20230104T13:00:00+0000,0.502879,16402
20230104T14:00:00+0000,0.5,16386
20230104T15:00:00+0000,0.494259,16386
20230104T16:00:00+0000,0.0,16386
20230104T17:00:00+0000,0.0,16386
20230104T18:00:00+0000,0.0,19458
20230104T19:00:00+0000,0.0,19458
20230104T20:00:00+0000,0.123569,16386
20230104T21:00:00+0000,0.0,16386
20230104T22:00:00+0000,0.318965,16386
20230104T23:00:00+0000,0.0,16386
20230105T00:00:00+0000,0.425293,16402
20230105T01:00:00+0000,0.0,16402
20230105T02:00:00+0000,0.0,16402
20230105T03:00:00+0000,0.0,19474
20230105T04:00:00+0000,0.0,19474
20230105T05:00:00+0000,0.0,19474
20230105T06:00:00+0000,0.362069,16402
20230105T07:00:00+0000,0.347707,16402
20230105T08:00:00+0000,0.344828,16402
20230105T09:00:00+0000,0.350569,16402
20230105T10:00:00+0000,0.37931,16402
20230105T11:00:00+0000,0.0,16402
20230105T12:00:00+0000,0.413793,16402
20230105T13:00:00+0000,0.494259,16402
20230105T14:00:00+0000,0.399431,16386
20230105T15:00:00+0000,0.244259,16386
20230105T16:00:00+0000,0.0,16386
20230105T17:00:00+0000,0.0,16386
20230105T18:00:00+0000,0.0,19458
20230105T19:00:00+0000,0.0,19458
20230105T20:00:00+0000,0.0229828,16386
20230105T21:00:00+0000,0.0,16386
20230105T22:00:00+0000,0.206897,16386
20230105T23:00:00+0000,0.0,16386
20230106T00:00:00+0000,0.362069,16402
20230106T01:00:00+0000,0.0,16402
20230106T02:00:00+0000,0.0,16402
20230106T03:00:00+0000,0.0,19474
20230106T04:00:00+0000,0.0,19474
20230106T05:00:00+0000,0.0,19474
20230106T06:00:00+0000,0.0,19474
20230106T07:00:00+0000,0.425293,16402
20230106T08:00:00+0000,0.433914,16402
20230106T09:00:00+0000,0.433914,16402
20230106T10:00:00+0000,0.462638,16402
20230106T11:00:00+0000,0.0,16402
20230106T12:00:00+0000,0.514362,16402
20230106T13:00:00+0000,0.603448,16402
20230106T14:00:00+0000,0.471259,16386
20230106T15:00:00+0000,0.275862,16386
20230106T16:00:00+0000,0.0,16386
20230106T17:00:00+0000,0.0,16386
20230106T18:00:00+0000,0.0,19458
20230106T19:00:00+0000,0.0,19458
20230106T20:00:00+0000,0.0229828,16386
20230106T21:00:00+0000,0.0,16386
20230106T22:00:00+0000,0.244259,16386
20230106T23:00:00+0000,0.0,16386
20230107T00:00:00+0000,0.471259,16402
20230107T01:00:00+0000,0.0,16402
20230107T02:00:00+0000,0.0,16402
20230107T03:00:00+0000,0.0,19474
20230107T04:00:00+0000,0.0,19474
20230107T05:00:00+0000,0.0,19474
20230107T06:00:00+0000,0.479879,16402
20230107T07:00:00+0000,0.474138,16402
20230107T08:00:00+0000,0.448276,16402
20230107T09:00:00+0000,0.471259,16402
20230107T10:00:00+0000,0.491379,16402
20230107T11:00:00+0000,0.0,16402
20230107T12:00:00+0000,0.5,16402
20230107T13:00:00+0000,0.554603,16402
20230107T14:00:00+0000,0.442535,16386
20230107T15:00:00+0000,0.244259,16386
20230107T16:00:00+0000,0.0,16386
20230107T17:00:00+0000,0.0,16386
20230107T18:00:00+0000,0.0,19458
20230107T19:00:00+0000,0.0,19458
20230107T20:00:00+0000,0.0201207,16386
20230107T21:00:00+0000,0.0,16386
20230107T22:00:00+0000,0.232759,16386
