# observation_id: f372e794-3750-11ee-9fa3-16cf55170a0d
# metadata: https://api.forecastarbiter.com/observations/f372e794-3750-11ee-9fa3-16cf55170a0d/metadata
timestamp,value,quality_flag
20230101T00:00:00+0000,0.472337,0
20230101T01:00:00+0000,0.469398,16402
20230101T02:00:00+0000,0.439085,16402
20230101T03:00:00+0000,0.406005,16402
20230101T04:00:00+0000,0.392635,16402
20230101T05:00:00+0000,0.376153,16402
20230101T06:00:00+0000,0.362033,16402
20230101T07:00:00+0000,0.357769,16402
20230101T08:00:00+0000,0.3429,16402
20230101T09:00:00+0000,0.29524,16402
20230101T10:00:00+0000,0.282792,16402
20230101T11:00:00+0000,0.283541,16402
20230101T12:00:00+0000,0.284982,16402
20230101T13:00:00+0000,0.295758,16402
20230101T14:00:00+0000,0.300023,16386
20230101T15:00:00+0000,0.298121,16386
20230101T16:00:00+0000,0.323479,16386
20230101T17:00:00+0000,0.325899,16386
20230101T18:00:00+0000,0.292358,16386
20230101T19:00:00+0000,0.269998,16386
20230101T20:00:00+0000,0.310166,16386
20230101T21:00:00+0000,0.331604,16386
20230101T22:00:00+0000,0.381973,16386
20230101T23:00:00+0000,0.405602,16386
20230102T00:00:00+0000,0.442831,16386
20230102T01:00:00+0000,0.454126,16402
20230102T02:00:00+0000,0.435569,16402
20230102T03:00:00+0000,0.432227,16402
20230102T04:00:00+0000,0.416609,16402
20230102T05:00:00+0000,0.407503,16402
20230102T06:00:00+0000,0.372003,16402
20230102T07:00:00+0000,0.356674,16402
20230102T08:00:00+0000,0.325553,16402
20230102T09:00:00+0000,0.314315,16402
20230102T10:00:00+0000,0.304345,16402
20230102T11:00:00+0000,0.297142,16402
20230102T12:00:00+0000,0.313278,16402
20230102T13:00:00+0000,0.337483,16402
20230102T14:00:00+0000,0.337252,16386
20230102T15:00:00+0000,0.365894,16386
20230102T16:00:00+0000,0.386699,16386
20230102T17:00:00+0000,0.425081,16386
20230102T18:00:00+0000,0.419836,16386
20230102T19:00:00+0000,0.411595,16386
20230102T20:00:00+0000,0.421853,16386
20230102T21:00:00+0000,0.454587,16386
20230102T22:00:00+0000,0.485074,16386
20230102T23:00:00+0000,0.521669,16386
20230103T00:00:00+0000,0.533253,16386
20230103T01:00:00+0000,0.53988,16402
20230103T02:00:00+0000,0.528642,16402
20230103T03:00:00+0000,0.497983,16402
20230103T04:00:00+0000,0.467842,16402
20230103T05:00:00+0000,0.407561,16402
20230103T06:00:00+0000,0.356097,16402
20230103T07:00:00+0000,0.29864,16402
20230103T08:00:00+0000,0.271554,16402
20230103T09:00:00+0000,0.257089,16402
20230103T10:00:00+0000,0.254841,16402
20230103T11:00:00+0000,0.287114,16402
20230103T12:00:00+0000,0.324574,16402
20230103T13:00:00+0000,0.358633,16402
20230103T14:00:00+0000,0.334025,16386
20230103T15:00:00+0000,0.284751,16386
20230103T16:00:00+0000,0.267289,16386
20230103T17:00:00+0000,0.318292,16386
