# observation_id: 12a51eaf-3751-11ee-9ff4-16cf55170a0d
# metadata: https://api.forecastarbiter.com/observations/12a51eaf-3751-11ee-9ff4-16cf55170a0d/metadata
timestamp,value,quality_flag
20230101T00:00:00+0000,-0.230638,16386
20230101T01:00:00+0000,-0.114893,16386
20230101T02:00:00+0000,0.244255,16386
20230101T03:00:00+0000,0.651064,16386
20230101T04:00:00+0000,0.841702,16386
20230101T05:00:00+0000,0.809362,16402
20230101T06:00:00+0000,0.710638,16402
20230101T07:00:00+0000,0.64766,16402
20230101T08:00:00+0000,0.60766,16402
20230101T09:00:00+0000,0.568511,16402
20230101T10:00:00+0000,0.501277,16402
20230101T11:00:00+0000,0.546383,16402
20230101T12:00:00+0000,0.50383,16402
20230101T13:00:00+0000,0.454468,16402
20230101T14:00:00+0000,0.40766,16402
20230101T15:00:00+0000,0.411064,16402
20230101T16:00:00+0000,0.398298,16402
20230101T17:00:00+0000,0.415319,16402
20230101T18:00:00+0000,0.372766,16386
20230101T19:00:00+0000,0.197447,16386
20230101T20:00:00+0000,0.0578725,16386
20230101T21:00:00+0000,-0.354894,16386
20230101T22:00:00+0000,0.308085,16386
20230101T23:00:00+0000,0.28,16386
20230102T00:00:00+0000,0.150638,16386
20230102T01:00:00+0000,0.374468,16386
20230102T02:00:00+0000,0.45617,16386
20230102T03:00:00+0000,0.630638,16386
20230102T04:00:00+0000,0.748936,16386
20230102T05:00:00+0000,0.75234,16402
20230102T06:00:00+0000,0.742128,16402
20230102T07:00:00+0000,0.69617,16402
20230102T08:00:00+0000,0.664681,16402
20230102T09:00:00+0000,0.592341,16402
20230102T10:00:00+0000,0.544681,16402
20230102T11:00:00+0000,0.506383,16402
20230102T12:00:00+0000,0.462979,16402
20230102T13:00:00+0000,0.435745,16402
20230102T14:00:00+0000,0.449362,16402
20230102T15:00:00+0000,0.44766,16402
20230102T16:00:00+0000,0.45617,16402
20230102T17:00:00+0000,0.464681,16402
20230102T18:00:00+0000,0.451915,16386
20230102T19:00:00+0000,0.114043,16386
20230102T20:00:00+0000,-0.12,16386
20230102T21:00:00+0000,-0.0255318,16386
20230102T22:00:00+0000,0.0136171,16386
20230102T23:00:00+0000,0.0697874,16386
20230103T00:00:00+0000,-0.199149,16386
20230103T01:00:00+0000,-0.027234,16386
20230103T02:00:00+0000,0.21617,16386
20230103T03:00:00+0000,0.464681,16386
20230103T04:00:00+0000,0.761702,16386
20230103T05:00:00+0000,0.81617,16402
20230103T06:00:00+0000,0.794043,16402
20230103T07:00:00+0000,0.76,16402
20230103T08:00:00+0000,0.690213,16402
20230103T09:00:00+0000,0.628936,16402
20230103T10:00:00+0000,0.56,16402
20230103T11:00:00+0000,0.497021,16402
20230103T12:00:00+0000,0.442553,16402
20230103T13:00:00+0000,0.428085,16402
20230103T14:00:00+0000,0.434894,16402
20230103T15:00:00+0000,0.448511,16402
20230103T16:00:00+0000,0.444255,16402
20230103T17:00:00+0000,0.475745,16402
20230103T18:00:00+0000,0.380426,16386
20230103T19:00:00+0000,0.0731916,16386
20230103T20:00:00+0000,-0.251915,16386
20230103T21:00:00+0000,-0.334468,16386
20230103T22:00:00+0000,-0.36,16386
20230103T23:00:00+0000,-0.379574,16386
20230104T00:00:00+0000,-0.429787,16386
20230104T01:00:00+0000,-0.227234,16386
20230104T02:00:00+0000,0.0970214,16386
20230104T03:00:00+0000,0.459575,16386
